ntdid,name,mode,tos,exp_type,total
2,Spokane Transit Authority,DR,PT,General Administration,"$304,591 "
2,Spokane Transit Authority,DR,PT,Total,"$3,871,894 "
2,Spokane Transit Authority,MB,DO,Vehicle Operations,"$27,275,974 "
2,Spokane Transit Authority,MB,DO,Vehicle Maintenance,"$6,862,183 "
2,Spokane Transit Authority,MB,DO,Non-Vehicle Maintenance,"$2,352,261 "
2,Spokane Transit Authority,MB,DO,General Administration,"$9,114,781 "
2,Spokane Transit Authority,MB,DO,Total,"$45,605,199 "
2,Spokane Transit Authority,VP,DO,Vehicle Operations,"$318,757 "
2,Spokane Transit Authority,VP,DO,Vehicle Maintenance,"$109,046 "
2,Spokane Transit Authority,VP,DO,Non-Vehicle Maintenance,"$9,782 "
2,Spokane Transit Authority,VP,DO,General Administration,"$430,770 "
2,Spokane Transit Authority,VP,DO,Total,"$868,355 "
3,Pierce County Transportation Benefit Area Authority,CB,PT,Vehicle Operations,"$25,253,606 "
3,Pierce County Transportation Benefit Area Authority,CB,PT,Vehicle Maintenance,"$7,054,070 "
3,Pierce County Transportation Benefit Area Authority,CB,PT,Non-Vehicle Maintenance,"$1,000,050 "
3,Pierce County Transportation Benefit Area Authority,CB,PT,General Administration,"$2,618,284 "
3,Pierce County Transportation Benefit Area Authority,CB,PT,Total,"$35,926,010 "
3,Pierce County Transportation Benefit Area Authority,DR,DO,Vehicle Operations,"$3,936,442 "
3,Pierce County Transportation Benefit Area Authority,DR,DO,Vehicle Maintenance,"$386,772 "
3,Pierce County Transportation Benefit Area Authority,DR,DO,Non-Vehicle Maintenance,"$90,135 "
3,Pierce County Transportation Benefit Area Authority,DR,DO,General Administration,"$1,949,656 "
3,Pierce County Transportation Benefit Area Authority,DR,DO,Total,"$6,363,005 "
3,Pierce County Transportation Benefit Area Authority,DR,PT,Vehicle Operations,"$6,375,276 "
3,Pierce County Transportation Benefit Area Authority,DR,PT,Vehicle Maintenance,"$1,246,181 "
3,Pierce County Transportation Benefit Area Authority,DR,PT,Non-Vehicle Maintenance,"$197,835 "
3,Pierce County Transportation Benefit Area Authority,DR,PT,General Administration,"$3,372,997 "
3,Pierce County Transportation Benefit Area Authority,DR,PT,Total,"$11,192,289 "
3,Pierce County Transportation Benefit Area Authority,MB,DO,Vehicle Operations,"$33,684,925 "
3,Pierce County Transportation Benefit Area Authority,MB,DO,Vehicle Maintenance,"$5,681,340 "
3,Pierce County Transportation Benefit Area Authority,MB,DO,Non-Vehicle Maintenance,"$2,839,155 "
3,Pierce County Transportation Benefit Area Authority,MB,DO,General Administration,"$11,360,543 "
3,Pierce County Transportation Benefit Area Authority,MB,DO,Total,"$53,565,963 "
3,Pierce County Transportation Benefit Area Authority,VP,DO,Vehicle Operations,"$2,319,358 "
3,Pierce County Transportation Benefit Area Authority,VP,DO,Vehicle Maintenance,"$585,523 "
3,Pierce County Transportation Benefit Area Authority,VP,DO,Non-Vehicle Maintenance,"$180,874 "
3,Pierce County Transportation Benefit Area Authority,VP,DO,General Administration,"$1,229,804 "
3,Pierce County Transportation Benefit Area Authority,VP,DO,Total,"$4,315,559 "
5,Everett Transit,DR,DO,Vehicle Operations,"$3,302,919 "
5,Everett Transit,DR,DO,Vehicle Maintenance,"$765,827 "
5,Everett Transit,DR,DO,Non-Vehicle Maintenance,"$197,059 "
5,Everett Transit,DR,DO,General Administration,"$1,284,827 "
5,Everett Transit,DR,DO,Total,"$5,550,632 "
5,Everett Transit,MB,DO,Vehicle Operations,"$7,759,636 "
5,Everett Transit,MB,DO,Vehicle Maintenance,"$1,749,198 "
5,Everett Transit,MB,DO,Non-Vehicle Maintenance,"$670,834 "
5,Everett Transit,MB,DO,General Administration,"$3,840,720 "
5,Everett Transit,MB,DO,Total,"$14,020,388 "
6,Yakima Transit,CB,PT,Vehicle Operations,"$162,661 "
6,Yakima Transit,CB,PT,Vehicle Maintenance,"$68,834 "
6,Yakima Transit,CB,PT,Non-Vehicle Maintenance,"$9,130 "
6,Yakima Transit,CB,PT,General Administration,"$48,220 "
6,Yakima Transit,CB,PT,Total,"$288,845 "
6,Yakima Transit,DR,PT,Vehicle Operations,"$666,854 "
6,Yakima Transit,DR,PT,Vehicle Maintenance,"$213,705 "
6,Yakima Transit,DR,PT,Non-Vehicle Maintenance,"$45,972 "
6,Yakima Transit,DR,PT,General Administration,"$275,441 "
6,Yakima Transit,DR,PT,Total,"$1,201,972 "
6,Yakima Transit,MB,DO,Vehicle Operations,"$4,104,757 "
6,Yakima Transit,MB,DO,Vehicle Maintenance,"$1,201,133 "
6,Yakima Transit,MB,DO,Non-Vehicle Maintenance,"$106,561 "
6,Yakima Transit,MB,DO,General Administration,"$814,414 "
6,Yakima Transit,MB,DO,Total,"$6,226,865 "
6,Yakima Transit,VP,DO,Vehicle Operations,"$75,073 "
6,Yakima Transit,VP,DO,Vehicle Maintenance,"$99,601 "
6,Yakima Transit,VP,DO,Non-Vehicle Maintenance,"$6,611 "
6,Yakima Transit,VP,DO,General Administration,"$29,676 "
6,Yakima Transit,VP,DO,Total,"$210,961 "
7,Lane Transit District,DR,PT,Vehicle Operations,"$4,270,489 "
7,Lane Transit District,DR,PT,Vehicle Maintenance,"$305,394 "
7,Lane Transit District,DR,PT,Non-Vehicle Maintenance,"$31,452 "
7,Lane Transit District,DR,PT,General Administration,"$846,591 "
7,Lane Transit District,DR,PT,Total,"$5,453,926 "
7,Lane Transit District,DT,PT,Vehicle Operations,"$3,305,412 "
7,Lane Transit District,DT,PT,Vehicle Maintenance,"$818,799 "
7,Lane Transit District,DT,PT,Non-Vehicle Maintenance,"$87,264 "
7,Lane Transit District,DT,PT,General Administration,"$1,409,118 "
7,Lane Transit District,DT,PT,Total,"$5,620,593 "
7,Lane Transit District,MB,DO,Vehicle Operations,"$17,712,760 "
7,Lane Transit District,MB,DO,Vehicle Maintenance,"$4,480,634 "
7,Lane Transit District,MB,DO,Non-Vehicle Maintenance,"$1,346,030 "
7,Lane Transit District,MB,DO,General Administration,"$6,534,018 "
7,Lane Transit District,MB,DO,Total,"$30,073,442 "
7,Lane Transit District,MB,PT,Vehicle Operations,"$129,769 "
7,Lane Transit District,MB,PT,Vehicle Maintenance,"$18,594 "
7,Lane Transit District,MB,PT,Non-Vehicle Maintenance,$0 
7,Lane Transit District,MB,PT,General Administration,"$24,135 "
7,Lane Transit District,MB,PT,Total,"$172,498 "
7,Lane Transit District,RB,DO,Vehicle Operations,"$3,264,679 "
7,Lane Transit District,RB,DO,Vehicle Maintenance,"$879,457 "
7,Lane Transit District,RB,DO,Non-Vehicle Maintenance,"$410,276 "
7,Lane Transit District,RB,DO,General Administration,"$1,086,615 "
7,Lane Transit District,RB,DO,Total,"$5,641,027 "
7,Lane Transit District,VP,PT,Vehicle Operations,"$74,131 "
7,Lane Transit District,VP,PT,Vehicle Maintenance,"$8,489 "
7,Lane Transit District,VP,PT,Non-Vehicle Maintenance,$541 
7,Lane Transit District,VP,PT,General Administration,"$124,804 "
7,Lane Transit District,VP,PT,Total,"$207,965 "
8,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Vehicle Operations,"$21,589,910 "
8,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Vehicle Maintenance,"$2,445,748 "
8,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Non-Vehicle Maintenance,"$106,892 "
8,Tri-County Metropolitan Transportation District of Oregon,DR,PT,General Administration,"$8,618,563 "
8,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Total,"$32,761,113 "
8,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Vehicle Operations,"$2,183,746 "
8,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Vehicle Maintenance,"$628,385 "
8,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Non-Vehicle Maintenance,"$9,072 "
8,Tri-County Metropolitan Transportation District of Oregon,DT,PT,General Administration,"$881,434 "
8,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Total,"$3,702,637 "
8,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Vehicle Operations,"$41,491,661 "
8,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Vehicle Maintenance,"$26,403,733 "
8,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Non-Vehicle Maintenance,"$19,554,304 "
8,Tri-County Metropolitan Transportation District of Oregon,LR,DO,General Administration,"$20,672,071 "
8,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Total,"$108,121,769 "
8,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Vehicle Operations,"$153,945,020 "
8,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Vehicle Maintenance,"$37,416,537 "
8,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Non-Vehicle Maintenance,"$9,233,015 "
8,Tri-County Metropolitan Transportation District of Oregon,MB,DO,General Administration,"$40,345,017 "
8,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Total,"$240,939,589 "
8,Tri-County Metropolitan Transportation District of Oregon,SR,PT,Vehicle Operations,"$5,454,539 "
8,Tri-County Metropolitan Transportation District of Oregon,SR,PT,Vehicle Maintenance,"$966,357 "
8,Tri-County Metropolitan Transportation District of Oregon,SR,PT,Non-Vehicle Maintenance,"$214,466 "
8,Tri-County Metropolitan Transportation District of Oregon,SR,PT,General Administration,"$2,531,661 "
8,Tri-County Metropolitan Transportation District of Oregon,SR,PT,Total,"$9,167,023 "
8,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Vehicle Operations,"$2,694,436 "
8,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Vehicle Maintenance,"$1,415,567 "
8,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Non-Vehicle Maintenance,"$765,956 "
8,Tri-County Metropolitan Transportation District of Oregon,YR,PT,General Administration,"$1,937,335 "
8,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Total,"$6,813,294 "
11,Valley Regional Transit,DR,DO,Vehicle Operations,"$1,037,846 "
11,Valley Regional Transit,DR,DO,Vehicle Maintenance,"$202,947 "
11,Valley Regional Transit,DR,DO,Non-Vehicle Maintenance,"$17,485 "
11,Valley Regional Transit,DR,DO,General Administration,"$112,286 "
11,Valley Regional Transit,DR,DO,Total,"$1,370,564 "
11,Valley Regional Transit,MB,DO,Vehicle Operations,"$4,274,203 "
11,Valley Regional Transit,MB,DO,Vehicle Maintenance,"$1,719,153 "
11,Valley Regional Transit,MB,DO,Non-Vehicle Maintenance,"$119,693 "
11,Valley Regional Transit,MB,DO,General Administration,"$2,074,512 "
11,Valley Regional Transit,MB,DO,Total,"$8,187,561 "
12,Municipality of Anchorage - Public Transportation Department,DR,PT,Vehicle Operations,"$3,906,398 "
12,Municipality of Anchorage - Public Transportation Department,DR,PT,Vehicle Maintenance,"$589,426 "
12,Municipality of Anchorage - Public Transportation Department,DR,PT,Non-Vehicle Maintenance,"$464,243 "
12,Municipality of Anchorage - Public Transportation Department,DR,PT,General Administration,"$1,157,505 "
12,Municipality of Anchorage - Public Transportation Department,DR,PT,Total,"$6,117,572 "
12,Municipality of Anchorage - Public Transportation Department,MB,DO,Vehicle Operations,"$13,444,052 "
12,Municipality of Anchorage - Public Transportation Department,MB,DO,Vehicle Maintenance,"$4,487,530 "
12,Municipality of Anchorage - Public Transportation Department,MB,DO,Non-Vehicle Maintenance,"$1,789,242 "
12,Municipality of Anchorage - Public Transportation Department,MB,DO,General Administration,"$3,628,241 "
12,Municipality of Anchorage - Public Transportation Department,MB,DO,Total,"$23,349,065 "
12,Municipality of Anchorage - Public Transportation Department,VP,PT,Vehicle Operations,"$547,584 "
12,Municipality of Anchorage - Public Transportation Department,VP,PT,Vehicle Maintenance,"$248,543 "
12,Municipality of Anchorage - Public Transportation Department,VP,PT,Non-Vehicle Maintenance,"$81,554 "
12,Municipality of Anchorage - Public Transportation Department,VP,PT,General Administration,"$1,190,338 "
12,Municipality of Anchorage - Public Transportation Department,VP,PT,Total,"$2,068,019 "
16,RiverCities Transit,DR,PT,Vehicle Operations,"$855,896 "
16,RiverCities Transit,DR,PT,Vehicle Maintenance,"$394,656 "
16,RiverCities Transit,DR,PT,Non-Vehicle Maintenance,$0 
16,RiverCities Transit,DR,PT,General Administration,"$139,972 "
16,RiverCities Transit,DR,PT,Total,"$1,390,524 "
16,RiverCities Transit,MB,DO,Vehicle Operations,"$1,529,771 "
16,RiverCities Transit,MB,DO,Vehicle Maintenance,"$663,740 "
16,RiverCities Transit,MB,DO,Non-Vehicle Maintenance,"$92,772 "
16,RiverCities Transit,MB,DO,General Administration,"$642,461 "
16,RiverCities Transit,MB,DO,Total,"$2,928,744 "
18,Ben Franklin Transit,DR,DO,Vehicle Operations,"$8,499,392 "
18,Ben Franklin Transit,DR,DO,Vehicle Maintenance,"$1,202,132 "
18,Ben Franklin Transit,DR,DO,Non-Vehicle Maintenance,"$194,935 "
18,Ben Franklin Transit,DR,DO,General Administration,"$1,954,040 "
18,Ben Franklin Transit,DR,DO,Total,"$11,850,499 "
18,Ben Franklin Transit,DR,PT,Vehicle Operations,"$649,602 "
18,Ben Franklin Transit,DR,PT,Vehicle Maintenance,"$80,112 "
18,Ben Franklin Transit,DR,PT,Non-Vehicle Maintenance,"$34,831 "
18,Ben Franklin Transit,DR,PT,General Administration,"$148,257 "
18,Ben Franklin Transit,DR,PT,Total,"$912,802 "
18,Ben Franklin Transit,DT,PT,Vehicle Operations,"$1,586,315 "
18,Ben Franklin Transit,DT,PT,Vehicle Maintenance,"$196,199 "
18,Ben Franklin Transit,DT,PT,Non-Vehicle Maintenance,"$85,154 "
18,Ben Franklin Transit,DT,PT,General Administration,"$357,555 "
18,Ben Franklin Transit,DT,PT,Total,"$2,225,223 "
18,Ben Franklin Transit,MB,DO,Vehicle Operations,"$9,617,460 "
18,Ben Franklin Transit,MB,DO,Vehicle Maintenance,"$1,856,198 "
18,Ben Franklin Transit,MB,DO,Non-Vehicle Maintenance,"$186,644 "
18,Ben Franklin Transit,MB,DO,General Administration,"$2,356,604 "
18,Ben Franklin Transit,MB,DO,Total,"$14,016,906 "
18,Ben Franklin Transit,VP,DO,Vehicle Operations,"$1,637,997 "
18,Ben Franklin Transit,VP,DO,Vehicle Maintenance,"$479,902 "
18,Ben Franklin Transit,VP,DO,Non-Vehicle Maintenance,"$31,593 "
18,Ben Franklin Transit,VP,DO,General Administration,"$820,491 "
18,Ben Franklin Transit,VP,DO,Total,"$2,969,983 "
19,Intercity Transit,CB,DO,Vehicle Operations,"$1,403,723 "
19,Intercity Transit,CB,DO,Vehicle Maintenance,"$289,026 "
19,Intercity Transit,CB,DO,Non-Vehicle Maintenance,"$86,125 "
19,Intercity Transit,CB,DO,General Administration,"$459,214 "
19,Intercity Transit,CB,DO,Total,"$2,238,088 "
19,Intercity Transit,CB,PT,Vehicle Operations,"$305,634 "
19,Intercity Transit,CB,PT,Vehicle Maintenance,$0 
19,Intercity Transit,CB,PT,Non-Vehicle Maintenance,$0 
19,Intercity Transit,CB,PT,General Administration,"$1,926 "
19,Intercity Transit,CB,PT,Total,"$307,560 "
19,Intercity Transit,DR,DO,Vehicle Operations,"$4,586,385 "
19,Intercity Transit,DR,DO,Vehicle Maintenance,"$1,031,547 "
19,Intercity Transit,DR,DO,Non-Vehicle Maintenance,"$347,335 "
19,Intercity Transit,DR,DO,General Administration,"$1,812,565 "
19,Intercity Transit,DR,DO,Total,"$7,777,832 "
19,Intercity Transit,MB,DO,Vehicle Operations,"$12,607,482 "
19,Intercity Transit,MB,DO,Vehicle Maintenance,"$3,032,842 "
19,Intercity Transit,MB,DO,Non-Vehicle Maintenance,"$910,551 "
19,Intercity Transit,MB,DO,General Administration,"$4,822,387 "
19,Intercity Transit,MB,DO,Total,"$21,373,262 "
19,Intercity Transit,VP,DO,Vehicle Operations,"$1,214,850 "
19,Intercity Transit,VP,DO,Vehicle Maintenance,"$221,272 "
19,Intercity Transit,VP,DO,Non-Vehicle Maintenance,"$49,621 "
19,Intercity Transit,VP,DO,General Administration,"$419,266 "
19,Intercity Transit,VP,DO,Total,"$1,905,009 "
20,Kitsap Transit,DR,DO,Vehicle Operations,"$6,155,114 "
20,Kitsap Transit,DR,DO,Vehicle Maintenance,"$955,302 "
20,Kitsap Transit,DR,DO,Non-Vehicle Maintenance,"$776,839 "
20,Kitsap Transit,DR,DO,General Administration,"$1,983,782 "
20,Kitsap Transit,DR,DO,Total,"$9,871,037 "
20,Kitsap Transit,DT,PT,Vehicle Operations,"$1,618 "
20,Kitsap Transit,DT,PT,Vehicle Maintenance,$820 
20,Kitsap Transit,DT,PT,Non-Vehicle Maintenance,$284 
20,Kitsap Transit,DT,PT,General Administration,"$2,711 "
20,Kitsap Transit,DT,PT,Total,"$5,433 "
20,Kitsap Transit,FB,PT,Vehicle Operations,"$874,547 "
20,Kitsap Transit,FB,PT,Vehicle Maintenance,"$217,653 "
20,Kitsap Transit,FB,PT,Non-Vehicle Maintenance,"$281,993 "
20,Kitsap Transit,FB,PT,General Administration,"$819,623 "
20,Kitsap Transit,FB,PT,Total,"$2,193,816 "
20,Kitsap Transit,MB,DO,Vehicle Operations,"$9,979,837 "
20,Kitsap Transit,MB,DO,Vehicle Maintenance,"$3,953,611 "
20,Kitsap Transit,MB,DO,Non-Vehicle Maintenance,"$1,191,397 "
20,Kitsap Transit,MB,DO,General Administration,"$3,125,992 "
20,Kitsap Transit,MB,DO,Total,"$18,250,837 "
20,Kitsap Transit,VP,DO,Vehicle Operations,"$605,430 "
20,Kitsap Transit,VP,DO,Vehicle Maintenance,"$175,106 "
20,Kitsap Transit,VP,DO,Non-Vehicle Maintenance,"$71,151 "
20,Kitsap Transit,VP,DO,General Administration,"$287,213 "
20,Kitsap Transit,VP,DO,Total,"$1,138,900 "
21,Whatcom Transportation Authority,DR,DO,Vehicle Operations,"$4,200,131 "
21,Whatcom Transportation Authority,DR,DO,Vehicle Maintenance,"$780,328 "
21,Whatcom Transportation Authority,DR,DO,Non-Vehicle Maintenance,"$303,555 "
21,Whatcom Transportation Authority,DR,DO,General Administration,"$1,674,093 "
21,Whatcom Transportation Authority,DR,DO,Total,"$6,958,107 "
21,Whatcom Transportation Authority,DT,PT,Vehicle Operations,"$53,922 "
21,Whatcom Transportation Authority,DT,PT,Vehicle Maintenance,"$6,703 "
21,Whatcom Transportation Authority,DT,PT,Non-Vehicle Maintenance,"$4,518 "
21,Whatcom Transportation Authority,DT,PT,General Administration,"$22,765 "
21,Whatcom Transportation Authority,DT,PT,Total,"$87,908 "
21,Whatcom Transportation Authority,MB,DO,Vehicle Operations,"$10,307,915 "
21,Whatcom Transportation Authority,MB,DO,Vehicle Maintenance,"$2,003,830 "
21,Whatcom Transportation Authority,MB,DO,Non-Vehicle Maintenance,"$864,385 "
21,Whatcom Transportation Authority,MB,DO,General Administration,"$3,239,766 "
21,Whatcom Transportation Authority,MB,DO,Total,"$16,415,896 "
21,Whatcom Transportation Authority,VP,DO,Vehicle Operations,"$127,569 "
21,Whatcom Transportation Authority,VP,DO,Vehicle Maintenance,"$100,485 "
21,Whatcom Transportation Authority,VP,DO,Non-Vehicle Maintenance,"$6,631 "
21,Whatcom Transportation Authority,VP,DO,General Administration,"$77,785 "
21,Whatcom Transportation Authority,VP,DO,Total,"$312,470 "
22,City of Pocatello - Pocatello Regional Transit,DR,DO,Total,"$1,476,683 "
22,City of Pocatello - Pocatello Regional Transit,MB,DO,Total,"$1,205,173 "
23,City of Seattle - Seattle Center Monorail Transit,MG,PT,Vehicle Operations,"$450,921 "
23,City of Seattle - Seattle Center Monorail Transit,MG,PT,Vehicle Maintenance,"$761,506 "
23,City of Seattle - Seattle Center Monorail Transit,MG,PT,Non-Vehicle Maintenance,"$1,133,420 "
23,City of Seattle - Seattle Center Monorail Transit,MG,PT,General Administration,"$921,472 "
23,City of Seattle - Seattle Center Monorail Transit,MG,PT,Total,"$3,267,319 "
24,Clark County Public Transportation Benefit Area Authority,CB,DO,Vehicle Operations,"$3,839,099 "
24,Clark County Public Transportation Benefit Area Authority,CB,DO,Vehicle Maintenance,"$966,858 "
24,Clark County Public Transportation Benefit Area Authority,CB,DO,Non-Vehicle Maintenance,"$197,856 "
24,Clark County Public Transportation Benefit Area Authority,CB,DO,General Administration,"$1,038,442 "
24,Clark County Public Transportation Benefit Area Authority,CB,DO,Total,"$6,042,255 "
24,Clark County Public Transportation Benefit Area Authority,DR,DO,Vehicle Operations,"$6,695,822 "
24,Clark County Public Transportation Benefit Area Authority,DR,DO,Vehicle Maintenance,"$1,054,304 "
24,Clark County Public Transportation Benefit Area Authority,DR,DO,Non-Vehicle Maintenance,"$375,537 "
24,Clark County Public Transportation Benefit Area Authority,DR,DO,General Administration,"$1,753,997 "
24,Clark County Public Transportation Benefit Area Authority,DR,DO,Total,"$9,879,660 "
24,Clark County Public Transportation Benefit Area Authority,MB,DO,Vehicle Operations,"$17,930,442 "
24,Clark County Public Transportation Benefit Area Authority,MB,DO,Vehicle Maintenance,"$4,515,701 "
24,Clark County Public Transportation Benefit Area Authority,MB,DO,Non-Vehicle Maintenance,"$924,079 "
24,Clark County Public Transportation Benefit Area Authority,MB,DO,General Administration,"$4,850,025 "
24,Clark County Public Transportation Benefit Area Authority,MB,DO,Total,"$28,220,247 "
24,Clark County Public Transportation Benefit Area Authority,VP,DO,Vehicle Operations,"$82,932 "
24,Clark County Public Transportation Benefit Area Authority,VP,DO,Vehicle Maintenance,"$79,213 "
24,Clark County Public Transportation Benefit Area Authority,VP,DO,Non-Vehicle Maintenance,"$46,524 "
24,Clark County Public Transportation Benefit Area Authority,VP,DO,General Administration,"$67,402 "
24,Clark County Public Transportation Benefit Area Authority,VP,DO,Total,"$276,071 "
25,Salem Area Mass Transit District,DR,PT,Vehicle Operations,"$10,786,078 "
25,Salem Area Mass Transit District,DR,PT,Vehicle Maintenance,"$940,355 "
25,Salem Area Mass Transit District,DR,PT,Non-Vehicle Maintenance,"$69,603 "
25,Salem Area Mass Transit District,DR,PT,General Administration,"$1,914,284 "
25,Salem Area Mass Transit District,DR,PT,Total,"$13,710,320 "
25,Salem Area Mass Transit District,MB,DO,Vehicle Operations,"$11,936,596 "
25,Salem Area Mass Transit District,MB,DO,Vehicle Maintenance,"$3,084,847 "
25,Salem Area Mass Transit District,MB,DO,Non-Vehicle Maintenance,"$518,690 "
25,Salem Area Mass Transit District,MB,DO,General Administration,"$4,791,552 "
25,Salem Area Mass Transit District,MB,DO,Total,"$20,331,685 "
25,Salem Area Mass Transit District,VP,PT,Vehicle Operations,"$122,398 "
25,Salem Area Mass Transit District,VP,PT,Vehicle Maintenance,"$15,446 "
25,Salem Area Mass Transit District,VP,PT,Non-Vehicle Maintenance,"$1,229 "
25,Salem Area Mass Transit District,VP,PT,General Administration,"$242,818 "
25,Salem Area Mass Transit District,VP,PT,Total,"$381,891 "
28,Pierce County Ferry Operations,FB,PT,Vehicle Operations,"$2,339,192 "
28,Pierce County Ferry Operations,FB,PT,Vehicle Maintenance,"$725,642 "
28,Pierce County Ferry Operations,FB,PT,Non-Vehicle Maintenance,"$78,137 "
