5 Digit NTD ID,ntdid,name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Form Module Type,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,City,State,Zip Code,Zip Code Ext,P.O. Box,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
00016,0016,RiverCities Transit,RCT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,P.O. Box 128,254 Oregon Way,Longview,WA,98632,,128,10,http://www.rctransit.org/,1747,612643619,23,"48,573",431,"Longview, WA-OR",,"63,952","1,946",33,Y,9,15,24,,
00017,0T17,Stillaguamish Tribe of Indians,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,3322 236th Street NE,,Arlington,WA,98223,277,277,10,http://www.stillaguamish.com/,6801,34340406,,,0,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",0,0,0,,22,,22,,
00018,0018,Ben Franklin Transit,BFT,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,1000 Columbia Park Trail,,Richland,WA,99352,,,10,http://www.bft.org/,1742,61038006,80,"222,392",171,"Kennewick-Pasco, WA",,"210,975","2,059",102,Y,389,51,440,,
00019,0019,Intercity Transit,I.T.,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,526 Southeast Pattison Street,,Olympia,WA,98507,659,659,10,http://www.intercitytransit.com/,1745,50154525,97,"171,850",195,"Olympia-Lacey, WA",,"176,617","1,673",106,Y,310,,310,,
00020,0020,Kitsap Transit,,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,60 Washington Ave. Suite 200,,Bremerton,WA,98337,,,10,http://kitsaptransit.org/,1746,803857184,396,"254,183",180,"Bremerton, WA",,"198,979","1,458",136,Y,263,3,266,,
00021,0021,Whatcom Transportation Authority,WTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,4111 Bakerview Spur ,,Bellingham,WA,98226,8056,,10,http://www.ridewta.com/,5092,155747561,776,"209,612",275,"Bellingham, WA",,"114,473","2,379",48,Y,105,2,107,,
00022,0022,City of Pocatello,PRT,Pocatello Regional Transit,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,09/30/2015,1/31/2016,911 North Seventh,,Pocatello,ID,83205,4169,4169,10,http://www.pocatellotransit.com/,1737,73112690,27,"81,730",395,"Pocatello, ID",,"69,809","2,251",31,Y,28,,28,,
00023,0023,City of Seattle - Seattle Center Monorail Transit,SMS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,305 Harrison Street,,Seattle,WA,98109,4695,,10,http://www.seattlemonorail.com/,1749,832190248,83,"495,500",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,,8,8,,
00024,0024,Clark County Public Transportation Benefit Area Authority,C-Tran,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,,,Vancouver,WA,98668,2529,2529,10,http://www.c-tran.com/,1729,44938447,142,"383,770",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,171,,171,,
00025,0025,Salem Area Mass Transit District,Cherriots,Salem-Keizer Transit,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,555 Court St. NE,Suite 5230,Salem,OR,97301,3980,,10,http://www.cherriots.org/,1740,46259230,76,"236,632",156,"Salem, OR",,"236,632","3,117",76,Y,53,216,269,,
00026,0T26,Bristol Bay Native Association,BBNA,,Active,Reduced Reporter,Tribal Subsidy,Tribe, ,,,09/30/2015,1/31/2016,1500 Kanakanak Road,,Dillingham,AK,99576,310,310,10,http://www.bbna.com/,7163,67639807,,,0,Alaska Non-UZA,"Ekuk ANVSA, AK; Dillingham ANVSA, AK; Aleknagik ANVSA, AK",0,0,0,,,,,,
00027,0T27,Confederated Tribes of Siletz Indians,CTSI,,Active,Reduced Reporter,Tribal Subsidy,Tribe, ,,,06/30/2015,10/31/2015,,,Siletz,OR,97380,549,549,10,http://www.ctsi.nsn.us/,7043,114787062,,,0,Oregon Non-UZA,"Siletz Reservation and Off-Reservation Trust Land, OR",0,0,0,,,,,,
00028,0028,Pierce County Ferry Operations,Pierce County Ferry,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,"2702 S 42nd ST, Ste 201",,Tacoma,WA,98409,,,10,http://www.co.pierce.wa.us/,5013,71850887,233,"808,200",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,,2,2,,
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,7100 Hardeson Road,,Everett,WA,98203,5834,,10,http://www.commtrans.org/,2578,37420460,260,"722,268",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,510,98,608,,
00030,0T30,Chickaloon Native Village,CATs,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,P.O. Box 1105,,Chickaloon,AK,99674,,,10,http://www.chickaloontransit.com,6666,37410123,,,0,Alaska Non-UZA,"Chickaloon ANVSA, AK",0,0,0,,2,,2,,
00031,0T31,Shoshone-Bannock Tribes ,SBTDOT,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,,,Fort Hall,ID,83203,,306,10,http://www.sbtribes.com/,6976,793139684,"1,000","75,000",0,Idaho Non-UZA,"Fort Hall Reservation and Off-Reservation Trust Land, ID",0,0,0,,6,,6,,
00032,0T32,Skokomish Indian Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,North 80 Tribal Center Road,,Skokomish,WA,98584,,,10,n/a,6682,145310819,,,0,Washington Non-UZA,"Skokomish Reservation, WA",0,0,0,,2,2,4,,
00034,0034,Rogue Valley Transportation District,RVTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,3200 Crater Lake Avenue,,Medford,OR,97504,9075,,10,http://www.rvtd.org/,1739,91288639,50,"132,022",213,"Medford, OR",,"154,081","2,381",65,Y,19,22,41,,
00035,0035,Washington State Ferries,WSF,,Active,Full Reporter,Full Reporter,State Government Unit or Department of Transportation, ,,,06/30/2015,10/31/2015,2901 Third Avenue,,Seattle,WA,98121,1081,,10,http://www.wsdot.wa.gov/ferries/index.cfm/,1724,808883995,"1,945","3,919,300",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,19,,19,,
00036,0T36,Makah Tribal Council,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,P.O. Box 115,,Neah Bay ,WA,98357,115,,10,http://www.makah.com/,6907,71845952,,,0,Washington Non-UZA,"Makah Indian Reservation, WA",0,0,0,,1,,1,,
00040,0040,Central Puget Sound Regional Transit Authority,ST,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,401 South Jackson Street,,Seattle,WA,98104,2826,,10,http://www.soundtransit.org/,5656,958427239,"1,087","2,919,000",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,226,110,336,,
00041,0041,Alaska Railroad Corporation,ARRC,,Active,Full Reporter,Full Reporter,State Government Unit or Department of Transportation, ,,,12/31/2015,4/30/2016,327 West Ship Creek Avenue,,Anchorage,AK,99510,7500,107500,10,http://www.akrr.com/,5806,9487042,85,"251,243",149,"Anchorage, AK",,"251,243","2,956",85,Y,39,,39,,
00042,0042,Targhee Regional Public Transit Authority,TRPTA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,09/30/2015,1/31/2016,1810 W.  Broadway  #7,,Idaho Falls,ID,83402,, ,10,http://www.trpta.org/,5575,137202094,552,"169,747",321,"Idaho Falls, ID",,"90,733","2,039",45,Y,19,,19,,
00043,0043,Link Transit,,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,2700 Euclid Avenue,,Wenatchee,WA,98801,,,10,http://www.linktransit.com/,5606,790160758,197,"108,660",412,"Wenatchee, WA",,"67,227","2,143",31,Y,44,1,45,,
00044,0044,Skagit Transit,,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,600 County Shop Lane,,Burlington,WA,98233,9772,,10,http://www.skagittransit.org/,5816,840017672,760,"109,198",435,"Mount Vernon, WA",,"62,966","1,827",34,Y,86,,86,,
00045,0045,Fairbanks North Star Borough Transit,MACS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,3175 Peger Road,,Fairbanks,AK,99709,,,10,http://www.co.fairbanks.ak.us/transportation/,1734,76637651,"7,444","97,581",425,"Fairbanks, AK",,"64,513","1,170",55,Y,17,,17,,
00046,0046,South Metro Area Regional Transit,SMART,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,29799 SW Town Center Loop E,,Wilsonville,OR,97070,,,10,http://www.ridesmart.com/,5706,37600215,80,"20,515",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,18,,18,,
00047,0047,City of Corvallis,CTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,Corvallis Transit System,,Corvallis,OR,97339,1083,1083,10,http://www.CorvallisTransit.com/,5664,30796783,14,"56,535",436,"Corvallis, OR",,"62,433","2,957",21,Y,,11,11,,
00048,0048,Lewiston Transit System,LTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,09/30/2015,1/31/2016,PO Box 617,,Lewiston,ID,83501,,617,10,http://www.cityoflewiston.org/transit/,5981,40197261,17,"50,058",483,"Lewiston, ID-WA",,"51,924","1,840",28,Y,4,,4,,
00049,0049,"vRide, Inc. - Anchorage",,,Active,Full Reporter,Full Reporter,Private Provider Reporting on Behalf of a Public Entity, ,,,12/31/2015,4/30/2016,310 K Street,Suite 200,Anchorage,AK,99501,2604,,10,http://www.vride.com/,,98675887,77,"218,145",149,"Anchorage, AK",,"251,243","2,956",85,Y,66,,66,,
00051,0051,Asotin County PTBA,PTBA,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1494 Poplar St,,Clarkston,WA,99403,,,10,http://asotincoptba.com/,6450,830295015,20,"21,888",483,"Lewiston, ID-WA",,"51,924","1,840",28,Y,13,,13,,
00053,0053,Coeur d'Alene Tribe dba Citylink Transit,Citylink,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,37914 South Nukwalqw Street,,Worley,ID,83876,236,236,10,http://www.idahocitylink.com/,6807,808783844,388,"21,188",304,"Coeur d'Alene, ID","Coeur d'Alene Reservation, ID","98,378","2,083",47,N,4,,4,,
00054,0054,King County Ferry District,KCFD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,516 Third Avenue,Room 1200,Seattle,WA,98104,,,10,http://www.kingcountyferries.org/,6934,830213117,"2,116","1,931,249",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,2,,2,,
00055,0055,Kootenai County,KC,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,09/30/2015,1/31/2016,451 North Government Way,,Coeur d'Alene,ID,83816,9000,9000,10,http://www.kcgov.us/,6283,78207404,38,"78,696",304,"Coeur d'Alene, ID",,"98,378","2,083",47,Y,,7,7,,
00057,0057,Central Oregon Intergovernmental Council,Cascades East Transit,,Active,Full Reporter,Full Reporter,"MPO, COG or Other Planning Agency", ,,,06/30/2015,10/31/2015,334 NE Hawthorne Avenue,,Bend,OR,97701,,,10,http://www.coic.org/,7112,137128062,75,"127,940",344,"Bend, OR",,"83,794","2,110",40,Y,22,19,41,,
00058,0058,City of Portland,PBOT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,1120 SW 5th Street,Room 800,Portland,OR,97204,,,10,http://www.portlandoregon.gov/,,54971197,11,"72,832",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,,14,14,,
00059,0059,Josephine County,JCT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,201 River Heights Way,,Grants Pass,OR,97527,5432,,10,http://www.co.josephine.or.us/,6746,18742572,80,"48,000",494,"Grants Pass, OR",,"50,520","1,858",27,Y,16,,16,,
00060,0060,The Tulalip Tribes of Washington,TTT,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,6406 Marine Drive NW,,Tulalip,WA,98271,,,10,http://www.tulaliptribes-nsn.gov/,6977,40182198,19,"5,303",225,"Marysville, WA","Tulalip Reservation and Off-Reservation Trust Land, WA","145,140","1,774",82,Y,2,,2,,
00061,0061,City of Albany,ATS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,333 Broadalbin,,Albany,OR,97321,,490,10,http://www.cityofalbany.net/,5676,93478899,20,"50,724",459,"Albany, OR",,"56,997","2,379",24,Y,13,,13,,
00063,0063,City of Milton-Freewater,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,722 S. Main Street,,MiltonFreewater,OR,97862,,6,10,http://www.mfcity.com/,,51941763,5,"7,500",464,"Walla Walla, WA-OR",,"55,805","2,017",28,Y,,2,2,,
00064,0064,Valley Transit,VT,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,1401 West Rose Street,,Walla Walla,WA,99362,1687,,10,http://www.valleytransit.com/,5607,102891322,25,"47,239",464,"Walla Walla, WA-OR",,"55,805","2,017",28,Y,22,,22,,
00065,0065,Benton County,BCSTF,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,06/30/2015,10/31/2015,STF Program,,Corvallis,OR,97333,1083,1083,10,http://www.co.benton.or.us/pw/stf/index.php/,1723,81966004,676,"86,591",436,"Corvallis, OR",,"62,433","2,957",21,N,,21,21,,
00075,0T05,Confederated Tribes of the Grand Ronde Community of Oregon,CTGR,,Active,Reduced Reporter,Tribal Subsidy,Tribe, ,,,12/31/2015,4/30/2016,9615 Grand Ronde Rd,,Grand Ronde,OR,97347,9712,,10,http://www.grandronde.org/,6678,161155346,0,0,0,Oregon Non-UZA,"Grand Ronde Community and Off-Reservation Trust Land, OR",0,0,0,,,,,,
00085,0T08,Gulkana Village Council,SET,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,254,,Gakona,AK,99586,254,,10,soaringeagletransit.com,6667,1142814,0,0,0,Alaska Non-UZA,"Gulkana ANVSA, AK",0,0,0,,4,,4,,
00095,0T11,Lummi Nation,LIBC,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,2828 Kwina Rd,,Bellingham,WA,98226,,,10,http://lummi-nsn.gov/,6684,20245247,,,0,Washington Non-UZA,"Lummi Reservation, WA",0,0,0,,2,,2,,
00103,0T16,Squaxin Island Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,10 SE Squaxin,,Shelton,WA,98584,,,10,http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/,6686,606460475,,,0,Washington Non-UZA,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",0,0,0,,2,,2,,
00111,0T03,Confederated Tribes and Bands of The Yakama Nation,CTABOTYN,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,401 Fort  Road,,Toppenish,WA,98948,,151,10,http://www.pahtotransit.com,1724,803886399,0,0,0,Washington Non-UZA,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",0,0,0,,5,,5,,
00119,0T06,Confederated Tribes of the Umatilla Indian Reservation,CTUIR,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,46411 Timine Way,,Pendleton,OR,97801,,,10,http://www.ctuir.org/,6800,131973919,,,0,Oregon Non-UZA,"Umatilla Reservation and Off-Reservation Trust Land, OR",0,0,0,,6,11,17,,
00127,0T07,Cowlitz Indian Tribe,CITDOT,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,PO Box 2547,Suite B,Longview,WA,98632,9200,2547,10,http://www.cowlitz.org/,6808,607700478,0,0,0,Washington Non-UZA,,0,0,0,,5,,5,,
00135,0T12,Nez Perce Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,365,120 Bever Grade,Lapwai,ID,83540,365,,10,http://www.nezperce.org/,1722,78208303,,,0,Idaho Non-UZA,"Nez Perce Reservation, ID",0,0,0,,4,,4,,
00159,0T18,Tetlin Village Council,,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,PO Box 797,,Tok,AK,99780,,,10,http://www.tetlindot.com/,6812,,,,0,Alaska Non-UZA,"Tetlin ANVSA, AK",0,0,0,,1,,1,,
00167,0T19,Native Village of Crooked Creek,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,401 Main Street,,Crooked Creek,AK,99575,69,69,10,n/a,6975,833109270,0,0,0,Alaska Non-UZA,"Crooked Creek ANVSA, AK",0,0,0,,1,,1,,
00175,0T20,Manley Village Council,MVC,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,149 mile Elliott Highway,,Manley Hot Springs,AK,99756,105,105,10,,6804,926387804,,,0,Alaska Non-UZA,"Manley Hot Springs ANVSA, AK",0,0,0,,1,,1,,
00183,0T21,Quinault Tribe of the Quinault Reservation,QIN,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,1214 Aalis Drive,,Taholah,WA,98587,189,189,10,quinaultindiannation.com,6677,605668524,,,0,Washington Non-UZA,"Quinault Reservation, WA",0,0,0,,2,,2,,
00199,0T23,Seldovia Village Tribe,SVT,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,Drawer L,,Seldovia,AK,99663,,,10,http://www.svt.org/,8827,789480548,295,"6,400",0,Alaska Non-UZA,"Seldovia ANVSA, AK",0,0,0,,1,,1,,
00207,0T24,Spokane Tribe of Indians,TME,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,The Moccasin Express,6195 Ford Wellpinit Rd,Wellpinit,WA,99040,,100,10,http://www.spokanetribe.com/,6937,54658232,,,0,Washington Non-UZA,"Spokane Reservation and Off-Reservation Trust Land, WA",0,0,0,,9,,9,,
00223,0T28,Jamestown S'Klallam Tribe,JST,,Active,Reduced Reporter,Tribal Subsidy,Tribe, ,,,03/31/2015,10/31/2015,1033 Old Blyn Highway,,Sequim,WA,98382,,,10,http://www.jamestowntribe.org/,6986,103364097,,"1,080",0,Washington Non-UZA,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",0,0,0,,,,,,
00231,0T33,Confederated Tribes of Warm Springs,CTWS,Confederated Tribes of Warm Springs,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,1233 Veterans Street,,Warm Springs,OR,97761,,C,10,https://warmsprings-nsn.gov/,6978,41266073,,,0,Oregon Non-UZA,"Warm Springs Reservation and Off-Reservation Trust Land, OR",0,0,0,,,1,1,,
00239,0T34,Ketchikan Indian Community,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,615 Stedman,,Ketchikan,AK,99901,,,10,n/a,,936814010,,,0,Alaska Non-UZA,"Ketchikan ANVSA, AK",0,0,0,,4,,4,,
00247,0T29,Native Village of Noatak,NNV,,Active,Reduced Reporter,Tribe,Tribe, ,,,06/30/2015,10/31/2015,#5 Swamp Street,,Noatak,AK,99761,,24,10,http://www.maniilaq.org/,7186,907801,,,0,Alaska Non-UZA,"Noatak ANVSA, AK",0,0,0,,1,,1,,
00263,0T38,Nooksack Indian Tribe,NIT,,Active,Reduced Reporter,Tribal Subsidy,Tribe, ,,,12/31/2015,4/30/2016,NIT Planning Department , 4975 Deming Road,Deming,WA,98244,157,,10,http://www.nooksacktribe.org/,7176,39515234,0,,0,Washington Non-UZA,"Nooksack Reservation and Off-Reservation Trust Land, WA",0,0,0,,,,,,
00271,0T41,Nome Eskimo Community,NEC,,Active,Reduced Reporter,Tribal Subsidy,Tribe, ,,,12/31/2015,4/30/2016,200 W. 5th Avenue,,Nome,AK,99762,,1090,10,,,534862050,,,0,Alaska Non-UZA,"Nome ANVSA, AK",0,0,0,,,,,,
00279,0T40,Hydaburg Cooperative Association,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,,,Hydaburg,AK,99922,,349,10,www.hydatribe.org/transportation.hotmail,,134291116,,,0,Alaska Non-UZA,"Hydaburg ANVSA, AK",0,0,0,,2,,2,,
00400,,Gwichyaa Zhee Tribal Transit Service,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,3rd & Alder Street,,Fort Yukon,AK,99740,,126,10,,6983,607347754,5,620,0,Alaska Non-UZA,"Fort Yukon ANVSA, AK",0,0,0,,1,,1,,
